Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-10-2018,10930.9,11035.65,10821.55,11008.3,398987274,20391.72
03-10-2018,10982.7,10989.05,10843.75,10858.25,398756507,21225.59
04-10-2018,10754.7,10754.7,10547.25,10599.25,438202008,23711.57
05-10-2018,10514.1,10540.65,10261.9,10316.45,625153832,25254.21
08-10-2018,10310.15,10398.35,10198.4,10348.05,470279031,22130.94
09-10-2018,10390.3,10397.6,10279.35,10301.05,443795275,18285.41
10-10-2018,10331.85,10482.35,10318.25,10460.1,373844130,19592.59
11-10-2018,10169.8,10335.95,10138.6,10234.65,498509417,21907.13
12-10-2018,10331.55,10492.45,10322.15,10472.5,354056762,18606.04
15-10-2018,10524.2,10526.3,10410.15,10512.5,267517728,14372.15
16-10-2018,10550.15,10604.9,10525.3,10584.75,273444095,15453.03
17-10-2018,10688.7,10710.15,10436.45,10453.05,293586908,17173.14
19-10-2018,10339.7,10380.1,10249.6,10303.55,368552204,20505.66
